BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude,Cost,Quality,Food Type 1,Food Type 2,Food Type 3
Christine's Cafe,271 Cumbernauld Road,Glasgow,G31 2UG,-4.20924,55.862528,,,,,
Chukoku China China,298 Sauchiehall Street,Glasgow,G2 3JA,-4.263684,55.865763,,,,,
Citation Taverine And Restaurant,40 Wilson Street,Glasgow,G1 1HD,-4.248389,55.858853,,,,,
Classy Snax,42 Dalsetter Avenue,Glasgow,G15 8TE,-4.368116,55.906174,,,,,
Clean Plates,10 Gairbraid Avenue,Glasgow,G20 8YA,-4.290442,55.890504,,,,,
Club Bombay,121 Main Street,Glasgow,G69 6AA,-4.109384,55.850899,,,,,
Club Tropicana,26 Cambridge Street,Glasgow,G2 3DZ,-4.259784,55.865484,,,,,
Coia's,473 Duke Street,Glasgow,G31 1RD,-4.219946,55.858588,,,,,
Comforter In The City,50 Dundas Street,Glasgow,G1 2AQ,-4.251713,55.862999,,,,,
Congratulations,1027 Shettleston Road,Glasgow,G32 7PB,-4.169989,55.851912,,,,,
Cookie Cafe,75 Lauderdale Gardens,Glasgow,G12 9QU,-4.308532,55.87788,,,,,
Cookie Scotland,72 Nithsdale Road,Glasgow,G41 2AN,-4.271241,55.836953,,,,,
Coronation Restaurant,55 Gallowgate,Glasgow,G1 5AP,-4.241699,55.85645,,,,,
Cossachok Russian Cafe Gallery,10 King Street,Glasgow,G1 5QP,-4.246851,55.85685,,,,,
Courtyard Cafe (Resource Centre),192 Southbrae Drive,Glasgow,G13 1TX,-4.346984,55.884514,,,,,
Crabshakk,1114 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138,,,,,
Cranachan,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156,,,,,
Cranberrys (Glasgow) Ltd,30 Wilson Street,Glasgow,G1 1SS,-4.24667,55.858687,,,,,
Crazy Wok,173 Dumbarton Road,Glasgow,G11 6AA,-4.301502,55.870669,,,,,
Criterion Cafe,46 Gallowgate,Glasgow,G1 5AB,-4.242888,55.856284,,,,,
Crolla's Gelateria,221 Byres Road,Glasgow,G12 8UD,-4.294404,55.87499,,,,,
Cross Enterprise,11 Minerva Way,Glasgow,G3 8AU,-4.283855,55.863044,,,,,
Crown Carvery,7 Allerdyce Court,Glasgow,,-4.376204,55.902954,,,,,
Cullis Diner,202 Dumbarton Road,Glasgow,G11 6UN,-4.301203,55.871016,,,,,
Curry Karaoke Club,100 Stobcross Road,Glasgow,G3 8QQ,-4.296235,55.861861,,,,,
Cushion and Cake,35 Old Dumbarton Road,Glasgow,G3 8RD,-4.291944,55.866884,,,,,
Da Vinci's,50 Queen Street,Glasgow,G1 3DS,-4.251673,55.859261,,,,,
Daisy Cafe,431 Keppochhill Road,Glasgow,G21 1HT,-4.246321,55.876452,,,,,
Dakhin,89 Candleriggs,Glasgow,G1 1NP,-4.2458,55.858838,,,,,
D'Arcy's,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156,,,,,
Daughters Cafe,1300 Duke Street,Glasgow,G31 4EB,-4.199841,55.853449,,,,,
Deborah Stein,5 Coopers Well Street,Glasgow,G11 6QE,-4.300277,55.869955,,,,,
Deco,8 Elliot Place,Glasgow,,-4.27924274,55.86093689,,,,,
Deli Bakery,Congress Road,Glasgow,G3 8YW,-4.288154,55.86087,,,,,
